Item #,Data Order,Data Element,Form Version,Packet,Form ID,UDS Question,Data Type,Data Length,Column 1,Column 2,RANGE1,RANGE2,MISS1,MISS2,MISS3,MISS4,MISS5,MISS6,VAL1,VAL2,VAL3,VAL4,VAL5,VAL6,VAL7,VAL8,VAL9,VAL10,VAL11,VAL12,VAL1D,VAL2D,VAL3D,VAL4D,VAL5D,VAL6D,VAL7D,VAL8D,VAL9D,VAL10D,VAL11D,VAL12D,BLANKS1,BLANKS2,BLANKS3,BLANKS4,BLANKS5,SKIPS1,SKIPS2
G1,1,NOGDS,3,F,B6,"Check this box if the subject is not able to complete the GDS, based on the clinician's best judgment",Num,1,45,45,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,Able to complete (box not checked),Not able to complete (box checked),,,,,,,,,,,,,,,,,
1,2,SATIS,3,F,B6,Are you basically satisfied with your life?,Num,1,47,47,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,Yes,No,Did not answer,,,,,,,,,,,,,,,,
2,3,DROPACT,3,F,B6,Have you dropped many of your activities and interests?,Num,1,49,49,0,1,9,.,.,.,.,.,1,0,9,.,.,.,.,.,.,.,.,.,Yes,No,Did not answer,,,,,,,,,,,,,,,,
3,4,EMPTY,3,F,B6,Do you feel that your life is empty?,Num,1,51,51,0,1,9,.,.,.,.,.,1,0,9,.,.,.,.,.,.,.,.,.,Yes,No,Did not answer,,,,,,,,,,,,,,,,
4,5,BORED,3,F,B6,Do you often get bored?,Num,1,53,53,0,1,9,.,.,.,.,.,1,0,9,.,.,.,.,.,.,.,.,.,Yes,No,Did not answer,,,,,,,,,,,,,,,,
5,6,SPIRITS,3,F,B6,Are you in good spirits most of the time?,Num,1,55,55,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,Yes,No,Did not answer,,,,,,,,,,,,,,,,
6,7,AFRAID,3,F,B6,Are you afraid that something bad is going to happen to you?,Num,1,57,57,0,1,9,.,.,.,.,.,1,0,9,.,.,.,.,.,.,.,.,.,Yes,No,Did not answer,,,,,,,,,,,,,,,,
7,8,HAPPY,3,F,B6,Do you feel happy most of the time?,Num,1,59,59,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,Yes,No,Did not answer,,,,,,,,,,,,,,,,
8,9,HELPLESS,3,F,B6,Do you often feel helpless?,Num,1,61,61,0,1,9,.,.,.,.,.,1,0,9,.,.,.,.,.,.,.,.,.,Yes,No,Did not answer,,,,,,,,,,,,,,,,
9,10,STAYHOME,3,F,B6,"Do you prefer to stay at home, rather than going out and doing new things?",Num,1,63,63,0,1,9,.,.,.,.,.,1,0,9,.,.,.,.,.,.,.,.,.,Yes,No,Did not answer,,,,,,,,,,,,,,,,
10,11,MEMPROB,3,F,B6,Do you feel you have more problems with memory than most?,Num,1,65,65,0,1,9,.,.,.,.,.,1,0,9,.,.,.,.,.,.,.,.,.,Yes,No,Did not answer,,,,,,,,,,,,,,,,
11,12,WONDRFUL,3,F,B6,Do you think it is wonderful to be alive now?,Num,1,67,67,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,Yes,No,Did not answer,,,,,,,,,,,,,,,,
12,13,WRTHLESS,3,F,B6,Do you feel pretty worthless the way you are now?,Num,1,69,69,0,1,9,.,.,.,.,.,1,0,9,.,.,.,.,.,.,.,.,.,Yes,No,Did not answer,,,,,,,,,,,,,,,,
13,14,ENERGY,3,F,B6,Do you feel full of energy?,Num,1,71,71,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,Yes,No,Did not answer,,,,,,,,,,,,,,,,
14,15,HOPELESS,3,F,B6,Do you feel that your situation is hopeless?,Num,1,73,73,0,1,9,.,.,.,.,.,1,0,9,.,.,.,.,.,.,.,.,.,Yes,No,Did not answer,,,,,,,,,,,,,,,,
15,16,BETTER,3,F,B6,Do you think that most people are better off than you are?,Num,1,75,75,0,1,9,.,.,.,.,.,0,1,9,.,.,.,.,.,.,.,.,.,Yes,No,Did not answer,,,,,,,,,,,,,,,,
16,17,GDS,3,F,B6,Sum of all circled answers for a Total GDS Score,Num,2,77,78,0,15,88,.,.,.,.,.,.,88,.,.,.,.,.,.,.,.,.,.,,Did not complete,,,,,,,,,,,,,,,,,
